rdf,dists
0.091033022,0.05
0.022689163,0.15
0.022033158,0.25
0.029701723,0.35
0.055211615,0.45
0.345623038,0.55
0.892154516,0.65
1.011073228,0.75
0.769365362,0.85
0.61893439,0.95
0.457365306,1.05
0.489919109,1.15
0.595296405,1.25
0.687318444,1.35
0.682481744,1.45
0.657554189,1.55
0.604113102,1.65
0.609553524,1.75
0.586175269,1.85
0.624684144,1.95
0.631354803,2.05
0.620057024,2.15
0.645040873,2.25
0.625594871,2.35
0.606354553,2.45
0.606404505,2.55
0.62895357,2.65
0.611622323,2.75
0.622027749,2.85
0.621664545,2.95
0.643906426,3.05
0.617130459,3.15
0.604555417,3.25
0.617722428,3.35
0.616721049,3.45
0.621694722,3.55
0.636289177,3.65
0.632090362,3.75
0.617061875,3.85
0.614314671,3.95
0.616532543,4.05
0.613793741,4.15
0.619996356,4.25
0.62324276,4.35
0.63397756,4.45
0.612614068,4.55
0.619894545,4.65
0.609125934,4.75
0.63205955,4.85
0.62208661,4.95
0.619391869,5.05
0.616801496,5.15
0.618724824,5.25
0.602188032,5.35
0.628910815,5.45
0.636352957,5.55
0.620394263,5.65
0.624677128,5.75
0.607797559,5.85
0.615022804,5.95
