rdf,dists
0.089567375,0.05
0.020553707,0.15
0.025560366,0.25
0.027960286,0.35
0.087527548,0.45
0.348155661,0.55
0.946157965,0.65
1.084081684,0.75
0.861584575,0.85
0.618147757,0.95
0.572065644,1.05
0.549102169,1.15
0.609678347,1.25
0.708526279,1.35
0.713007453,1.45
0.706101136,1.55
0.657004105,1.65
0.654533501,1.75
0.621197483,1.85
0.659623656,1.95
0.671126564,2.05
0.668487746,2.15
0.67173137,2.25
0.658322673,2.35
0.650524004,2.45
0.654722947,2.55
0.659789693,2.65
0.673958944,2.75
0.672369334,2.85
0.653703115,2.95
0.635684556,3.05
0.675761461,3.15
0.663664865,3.25
0.662239638,3.35
0.652082831,3.45
0.677230027,3.55
0.640610818,3.65
0.656567512,3.75
0.664689383,3.85
0.650055647,3.95
0.677979722,4.05
0.659233664,4.15
0.65205315,4.25
0.656731321,4.35
0.648951219,4.45
0.641535896,4.55
0.648927193,4.65
0.653630273,4.75
0.678717851,4.85
0.655545904,4.95
0.653475719,5.05
0.648295621,5.15
0.652595492,5.25
0.645616173,5.35
0.652642639,5.45
0.654631606,5.55
0.668549023,5.65
0.656983065,5.75
0.648933734,5.85
0.663552185,5.95
