rdf,dists
0.576892928,0.05
0,0.15
0.003672512,0.25
0.023734981,0.35
0.121040188,0.45
0.569157721,0.55
1.484063236,0.65
1.505326682,0.75
1.316050011,0.85
1.25122152,0.95
1.050309204,1.05
0.880535836,1.15
0.88698123,1.25
0.989984962,1.35
1.137302358,1.45
1.05533923,1.55
1.056308863,1.65
0.994015309,1.75
0.999598109,1.85
0.959932518,1.95
0.995840496,2.05
0.985966006,2.15
1.054587303,2.25
0.937176991,2.35
1.004335238,2.45
0.956154113,2.55
1.032620033,2.65
0.951049121,2.75
0.980255928,2.85
1.004659497,2.95
0.962550333,3.05
0.976700424,3.15
1.006980331,3.25
0.975180789,3.35
0.955759409,3.45
0.982037907,3.55
0.957850432,3.65
1.005893736,3.75
1.024961847,3.85
1.000695821,3.95
0.958395819,4.05
0.955740167,4.15
0.971630636,4.25
0.975209463,4.35
0.994116695,4.45
1.004187292,4.55
1.019958106,4.65
1.019698081,4.75
0.951166494,4.85
0.955944053,4.95
0.94382857,5.05
0.977425749,5.15
0.973911015,5.25
1.011213059,5.35
0.982158122,5.45
1.027850898,5.55
0.953876317,5.65
0.970764311,5.75
0.960948153,5.85
0.940775274,5.95
