rdf,dists
0.049311369,0.05
0.00568568,0.15
0.012853998,0.25
0.024513678,0.35
0.061499734,0.45
0.318473196,0.55
0.809373921,0.65
1.035231966,0.75
0.809635653,0.85
0.572434522,0.95
0.459327938,1.05
0.427295567,1.15
0.547967278,1.25
0.661551924,1.35
0.694486604,1.45
0.65706657,1.55
0.604878396,1.65
0.5681128,1.75
0.572415821,1.85
0.575024994,1.95
0.621062012,2.05
0.62110088,2.15
0.612614536,2.25
0.604110409,2.35
0.601752184,2.45
0.589672504,2.55
0.586840971,2.65
0.609202189,2.75
0.610220552,2.85
0.60761136,2.95
0.604120014,3.05
0.609406624,3.15
0.597410305,3.25
0.575156899,3.35
0.596959216,3.45
0.598192196,3.55
0.618781536,3.65
0.613583191,3.75
0.606679583,3.85
0.596191661,3.95
0.588823625,4.05
0.594747066,4.15
0.604922169,4.25
0.601927027,4.35
0.596716861,4.45
0.594820531,4.55
0.609977606,4.65
0.613297188,4.75
0.596003372,4.85
0.59213934,4.95
0.595551928,5.05
0.593623872,5.15
0.604165124,5.25
0.615055543,5.35
0.611932733,5.45
0.587317544,5.55
0.591685188,5.65
0.60116286,5.75
0.601683211,5.85
0.604411405,5.95
